OID_,FORESTNAME,ZONE_CODE,COUNT,AREA,MIN,MAX,MEAN
1,Manti-La Sal National Forest,1,9.000000000000000,0.014400000000000,0.011403324082494,0.351506918668747,0.115408737419380
2,Pike and San Isabel National Forests,2,957.000000000000000,1.531200000000003,0.000000000000000,43.925067901611328,7.344203927579493
3,Rio Grande National Forest,3,506.000000000000000,0.809600000000001,0.386585831642151,29.439455032348633,5.538183673215009
4,San Juan National Forest,4,537.000000000000000,0.859200000000002,0.000000000000000,26.053277969360352,3.784465827196978
5,Arapaho and Roosevelt National Forests,5,676.000000000000000,1.081600000000002,2.571230888366699,74.309944152832031,21.865007656213109
6,"Grand Mesa, Uncompahgre and Gunnison National Forests",6,815.000000000000000,1.304000000000002,0.230504766106606,49.498710632324219,10.984560395292712
7,White River National Forest,7,655.000000000000000,1.048000000000002,0.947654664516449,54.008209228515625,23.297879553114186
8,Medicine Bow-Routt National Forest,8,379.000000000000000,0.606400000000001,9.461777687072754,129.247039794921875,37.264727509430642
