OID_,Value,Count,Label
1,0,490129.000000000000000,Water/Ice
2,1,1709622.000000000000000,Wetlands
3,2,1654895.000000000000000,Barren
4,3,616310.000000000000000,Developed
5,4,45578955.000000000000000,Forest
6,5,12846357.000000000000000,Shrub
7,6,13497651.000000000000000,Herbaceous
8,7,936487.000000000000000,Agriculture
