OID_,FORESTNAME,ZONE_CODE,COUNT,AREA,MIN,MAX,MEAN
1,Manti-La Sal National Forest,1,9.000000000000000,0.014400000000000,0.000000000000000,0.435522735118866,0.121678370568487
2,Pike and San Isabel National Forests,2,957.000000000000000,1.531200000000003,0.000000000000000,13.105650901794434,1.306829273264735
3,Rio Grande National Forest,3,506.000000000000000,0.809600000000001,0.000000000000000,19.239332199096680,1.100220217402627
4,San Juan National Forest,4,537.000000000000000,0.859200000000002,0.000000000000000,25.836723327636719,3.419197852052128
5,Arapaho and Roosevelt National Forests,5,676.000000000000000,1.081600000000002,0.000000000000000,33.465110778808594,4.506787960782661
6,"Grand Mesa, Uncompahgre and Gunnison National Forests",6,815.000000000000000,1.304000000000002,0.000000000000000,31.310184478759766,4.976767329314005
7,White River National Forest,7,655.000000000000000,1.048000000000002,0.000000000000000,25.222543716430664,6.069707332807420
8,Medicine Bow-Routt National Forest,8,379.000000000000000,0.606400000000001,0.390658766031265,37.178955078125000,9.181564423607023
