OID_,FIRE_YEAR,FORESTNAME,GIS_ACRES,COUNT
89,2020,Pike and San Isabel National Forests,16.392999649047852,1.000000000000000
90,2019,Arapaho and Roosevelt National Forests,100.414001464843750,1.000000000000000
91,2017,White River National Forest,94.218002319335938,1.000000000000000
92,2020,Pike and San Isabel National Forests,0.000000000000000,2.000000000000000
93,2020,Rio Grande National Forest,73.079002380371094,1.000000000000000
94,2020,White River National Forest,28.639999389648438,1.000000000000000
95,2018,Medicine Bow-Routt National Forest,0.000000000000000,2.000000000000000
96,2018,Manti-La Sal National Forest,11.605799674987793,1.000000000000000
97,2016,Arapaho and Roosevelt National Forests,300.619995117187500,1.000000000000000
98,2016,Pike and San Isabel National Forests,13.796999931335449,1.000000000000000
99,2018,San Juan National Forest,19677.320312500000000,1.000000000000000
100,2018,Pike and San Isabel National Forests,70.180976867675781,1.000000000000000
101,2017,Arapaho and Roosevelt National Forests,30.281999588012695,1.000000000000000
102,2019,Pike and San Isabel National Forests,97.230003356933594,1.000000000000000
103,2018,White River National Forest,5.491000175476074,1.000000000000000
104,2019,"Grand Mesa, Uncompahgre and Gunnison National Forests",34.027999877929688,1.000000000000000
105,2020,Arapaho and Roosevelt National Forests,58.784000396728516,1.000000000000000
106,2018,Pike and San Isabel National Forests,108131.296875000000000,1.000000000000000
107,2016,Arapaho and Roosevelt National Forests,711.031982421875000,1.000000000000000
108,2017,San Juan National Forest,1420.489990234375000,1.000000000000000
109,2016,Pike and San Isabel National Forests,39.034999847412109,1.000000000000000
110,2016,Arapaho and Roosevelt National Forests,197.938995361328125,1.000000000000000
111,2016,,16568.900390625000000,1.000000000000000
112,2016,Medicine Bow-Routt National Forest,461.100006103515625,1.000000000000000
113,2017,Arapaho and Roosevelt National Forests,9.317999839782715,1.000000000000000
114,2018,Arapaho and Roosevelt National Forests,230.781005859375000,1.000000000000000
115,2018,Arapaho and Roosevelt National Forests,33.099998474121094,1.000000000000000
116,2020,Arapaho and Roosevelt National Forests,14.500000000000000,1.000000000000000
117,2016,Arapaho and Roosevelt National Forests,97.494003295898438,1.000000000000000
118,2016,Pike and San Isabel National Forests,11.432000160217285,1.000000000000000
119,2018,San Juan National Forest,4593.472167968750000,1.000000000000000
120,2018,Pike and San Isabel National Forests,13034.950195312500000,1.000000000000000
121,2018,White River National Forest,2703.312011718750000,1.000000000000000
122,2018,San Juan National Forest,41.508998870849609,1.000000000000000
123,2019,Pike and San Isabel National Forests,89.408996582031250,1.000000000000000
124,2020,Rio Grande National Forest,186.333999633789062,1.000000000000000
125,2018,"Grand Mesa, Uncompahgre and Gunnison National Forests",111.836997985839844,1.000000000000000
126,2016,Pike and San Isabel National Forests,39.034801483154297,1.000000000000000
127,2016,San Juan National Forest,175.750000000000000,1.000000000000000
128,2019,,8959.958984375000000,1.000000000000000
129,2020,Arapaho and Roosevelt National Forests,9.475000381469727,1.000000000000000
130,2017,White River National Forest,20.224000930786133,1.000000000000000
131,2020,Arapaho and Roosevelt National Forests,14824.320312500000000,1.000000000000000
132,2018,Pike and San Isabel National Forests,13027.049804687500000,1.000000000000000
133,2017,San Juan National Forest,102.732002258300781,1.000000000000000
134,2018,Rio Grande National Forest,12.293999671936035,1.000000000000000
135,2018,"Grand Mesa, Uncompahgre and Gunnison National Forests",36549.140625000000000,2.000000000000000
136,2018,"Grand Mesa, Uncompahgre and Gunnison National Forests",53.340999603271484,1.000000000000000
137,2019,Pike and San Isabel National Forests,69.828002929687500,1.000000000000000
138,2019,Arapaho and Roosevelt National Forests,169.766998291015625,1.000000000000000
139,2019,Arapaho and Roosevelt National Forests,22.191999435424805,1.000000000000000
140,2016,Arapaho and Roosevelt National Forests,9.385000228881836,1.000000000000000
141,2017,Arapaho and Roosevelt National Forests,14.015000343322754,1.000000000000000
142,2017,Medicine Bow-Routt National Forest,2930.800048828125000,1.000000000000000
143,2018,White River National Forest,87.268997192382812,1.000000000000000
144,2020,San Juan National Forest,40.668998718261719,1.000000000000000
145,2016,Pike and San Isabel National Forests,18746.619140625000000,1.000000000000000
146,2020,Arapaho and Roosevelt National Forests,460.414001464843750,1.000000000000000
147,2017,Pike and San Isabel National Forests,101.184997558593750,1.000000000000000
148,2020,Medicine Bow-Routt National Forest,11.270000457763672,1.000000000000000
149,2018,San Juan National Forest,1423.876953125000000,1.000000000000000
150,2016,"Grand Mesa, Uncompahgre and Gunnison National Forests",12.526000022888184,1.000000000000000
151,2019,White River National Forest,721.289978027343750,1.000000000000000
152,2020,San Juan National Forest,102.705001831054688,1.000000000000000
153,2019,Pike and San Isabel National Forests,101.519996643066406,1.000000000000000
154,2018,White River National Forest,5188.375976562500000,1.000000000000000
155,2016,Pike and San Isabel National Forests,9.539999961853027,1.000000000000000
156,2016,White River National Forest,26.410999298095703,1.000000000000000
157,2019,Pike and San Isabel National Forests,102.424003601074219,1.000000000000000
158,2020,White River National Forest,32434.189453125000000,1.000000000000000
159,2016,Arapaho and Roosevelt National Forests,527.146484375000000,1.000000000000000
160,2018,Pike and San Isabel National Forests,14.470999717712402,1.000000000000000
161,2016,Medicine Bow-Routt National Forest,38380.070312500000000,1.000000000000000
162,2018,San Juan National Forest,9.826999664306641,1.000000000000000
163,2017,Arapaho and Roosevelt National Forests,631.236022949218750,1.000000000000000
164,2018,Arapaho and Roosevelt National Forests,1279.131958007812500,1.000000000000000
165,2019,White River National Forest,0.924000024795532,1.000000000000000
166,2019,Pike and San Isabel National Forests,3872.649902343750000,1.000000000000000
167,2020,Pike and San Isabel National Forests,44.917999267578125,1.000000000000000
168,2020,,193693.906250000000000,1.000000000000000
169,2020,Medicine Bow-Routt National Forest,176787.203125000000000,1.000000000000000
170,2018,Pike and San Isabel National Forests,108045.500000000000000,1.000000000000000
171,2017,White River National Forest,83.000000000000000,1.000000000000000
172,2019,Pike and San Isabel National Forests,12.545000076293945,1.000000000000000
173,2020,White River National Forest,92.459999084472656,1.000000000000000
174,2016,Arapaho and Roosevelt National Forests,125.499000549316406,1.000000000000000
175,2018,Pike and San Isabel National Forests,28099.949218750000000,1.000000000000000
176,2019,Pike and San Isabel National Forests,180.285003662109375,1.000000000000000
