OID_,FORESTNAME,ZONE_CODE,COUNT,AREA,MIN,MAX,MEAN
1,Manti-La Sal National Forest,1,9.000000000000000,0.014400000000000,0.167253747582436,0.222146227955818,0.195897958344883
2,Pike and San Isabel National Forests,2,957.000000000000000,1.531200000000003,1.466669201850891,43.528499603271484,17.806755450825719
3,Rio Grande National Forest,3,506.000000000000000,0.809600000000001,0.220674976706505,20.885543823242188,6.484110772521363
4,San Juan National Forest,4,537.000000000000000,0.859200000000002,0.102086730301380,13.484066963195801,3.331452088773919
5,Arapaho and Roosevelt National Forests,5,676.000000000000000,1.081600000000002,4.767814159393311,62.716194152832031,19.141014570315182
6,"Grand Mesa, Uncompahgre and Gunnison National Forests",6,815.000000000000000,1.304000000000002,0.179870307445526,35.151206970214844,12.897215324621989
7,White River National Forest,7,655.000000000000000,1.048000000000002,5.686209678649902,52.424610137939453,24.796681189355059
8,Medicine Bow-Routt National Forest,8,379.000000000000000,0.606400000000001,13.610682487487793,75.258201599121094,32.441393658479456
